iter	Passed	Remaining
0	138	138079
1	139	69810
2	141	47055
3	143	35653
4	144	28814
5	147	24452
6	151	21444
7	152	18950
8	154	17003
9	155	15442
10	157	14172
11	165	13616
12	167	12684
13	168	11882
14	170	11184
15	171	10571
16	173	10032
17	180	9863
18	182	9419
19	184	9019
20	185	8659
21	187	8327
22	188	8024
23	194	7917
24	196	7658
25	197	7416
26	199	7190
27	201	6981
28	202	6785
29	204	6602
30	209	6559
31	211	6397
32	213	6244
33	214	6099
34	216	5962
35	217	5832
36	219	5710
37	224	5692
38	226	5579
39	228	5473
40	229	5371
41	231	5281
42	233	5188
43	234	5099
44	239	5083
45	241	5002
46	242	4922
47	244	4846
48	245	4773
49	247	4702
50	249	4634
51	254	4636
52	255	4573
53	257	4511
54	259	4452
55	260	4394
56	262	4339
57	263	4285
58	271	4322
59	272	4275
60	274	4224
61	276	4175
62	277	4129
63	279	4094
64	285	4105
65	287	4061
66	288	4018
67	289	3966
68	290	3926
69	292	3886
70	295	3860
71	300	3876
72	302	3839
73	303	3803
74	305	3768
75	307	3736
76	308	3702
77	310	3669
78	315	3678
79	317	3648
80	318	3617
81	320	3586
82	323	3573
83	335	3658
84	337	3633
85	339	3608
86	340	3575
87	345	3581
88	347	3554
89	348	3526
90	350	3504
91	352	3478
92	353	3452
93	355	3426
94	359	3423
95	361	3403
96	363	3379
97	365	3367
98	368	3350
99	369	3328
100	371	3305
101	375	3304
102	377	3284
103	378	3264
104	380	3246
105	382	3225
106	383	3204
107	385	3184
108	389	3186
109	392	3174
110	394	3159
111	396	3140
112	397	3122
113	399	3103
114	400	3085
115	402	3064
116	404	3055
117	406	3041
118	408	3021
119	409	3004
120	411	2987
121	412	2971
122	413	2950
123	417	2948
124	420	2942
125	422	2927
126	423	2912
127	424	2892
128	426	2877
129	427	2863
130	429	2848
131	435	2862
132	437	2850
133	439	2840
134	441	2826
135	442	2812
136	444	2798
137	445	2782
138	451	2798
139	454	2791
140	457	2785
141	468	2828
142	469	2814
143	471	2801
144	472	2788
145	474	2775
146	475	2762
147	481	2770
148	483	2759
149	484	2747
150	486	2734
151	487	2721
152	489	2709
153	490	2697
154	496	2707
155	498	2695
156	499	2683
157	501	2672
158	502	2660
159	504	2648
160	506	2637
161	510	2642
162	512	2632
163	514	2622
164	515	2611
165	517	2600
166	519	2589
167	520	2578
168	527	2594
169	529	2584
170	531	2574
171	532	2563
172	534	2553
173	536	2546
174	538	2536
175	542	2541
176	544	2531
177	545	2521
178	547	2511
179	549	2501
180	549	2488
181	553	2486
182	558	2494
183	560	2484
184	561	2475
185	563	2465
186	566	2463
187	568	2454
188	573	2460
189	575	2451
190	576	2442
191	578	2435
192	580	2427
193	582	2418
194	583	2409
195	588	2415
196	590	2406
197	592	2397
198	594	2391
199	595	2383
200	597	2375
201	599	2366
202	604	2372
203	605	2364
204	607	2357
205	609	2349
206	611	2341
207	612	2332
208	614	2324
209	620	2333
210	622	2326
211	623	2318
212	625	2310
213	626	2302
214	628	2294
215	630	2286
216	634	2291
217	637	2285
218	638	2277
219	640	2269
220	641	2262
221	643	2254
222	645	2249
223	648	2245
224	650	2239
225	652	2233
226	653	2226
227	655	2220
228	661	2226
229	663	2220
230	665	2216
231	667	2209
232	669	2202
233	670	2195
234	675	2197
235	677	2193
236	679	2186
237	680	2179
238	682	2172
239	683	2165
240	685	2158
241	686	2151
242	693	2159
243	696	2158
244	700	2158
245	706	2166
246	708	2161
247	710	2155
248	712	2148
249	713	2141
250	715	2135
251	717	2129
252	722	2132
253	723	2126
254	725	2119
255	726	2112
256	728	2106
257	730	2099
258	732	2095
259	737	2098
260	738	2092
261	740	2085
262	742	2079
263	743	2072
264	746	2070
265	748	2065
266	753	2069
267	755	2063
268	756	2056
269	758	2050
270	760	2046
271	762	2041
272	767	2043
273	769	2038
274	771	2033
275	772	2027
276	774	2021
277	776	2015
278	777	2009
279	784	2016
280	785	2010
281	787	2004
282	789	1999
283	790	1993
284	792	1987
285	793	1981
286	796	1978
287	798	1973
288	799	1967
289	801	1962
290	803	1956
291	809	1962
292	811	1958
293	813	1953
294	815	1948
295	816	1942
296	818	1937
297	822	1937
298	825	1934
299	826	1928
300	830	1927
301	831	1922
302	834	1918
303	840	1925
304	843	1922
305	845	1916
306	846	1911
307	848	1905
308	849	1900
309	855	1903
310	857	1899
311	859	1894
312	860	1889
313	862	1883
314	863	1878
315	865	1873
316	870	1876
317	872	1871
318	874	1866
319	875	1860
320	877	1855
321	878	1850
322	880	1845
323	885	1847
324	887	1842
325	888	1837
326	890	1832
327	891	1827
328	893	1822
329	894	1816
330	899	1818
331	901	1813
332	903	1809
333	904	1804
334	906	1799
335	908	1794
336	909	1789
337	913	1789
338	915	1785
339	917	1780
340	919	1776
341	932	1794
342	934	1790
343	936	1786
344	947	1799
345	949	1795
346	951	1791
347	960	1799
348	962	1795
349	964	1791
350	966	1787
351	968	1782
352	976	1790
353	978	1786
354	980	1782
355	982	1777
356	984	1773
357	992	1779
358	993	1774
359	995	1769
360	996	1764
361	998	1759
362	1000	1754
363	1005	1756
364	1006	1751
365	1008	1746
366	1009	1741
367	1011	1737
368	1012	1732
369	1014	1727
370	1019	1728
371	1021	1723
372	1023	1721
373	1025	1717
374	1028	1713
375	1030	1710
376	1037	1715
377	1039	1710
378	1041	1705
379	1042	1700
380	1044	1696
381	1045	1692
382	1051	1693
383	1052	1688
384	1054	1684
385	1055	1679
386	1057	1674
387	1060	1671
388	1069	1679
389	1072	1677
390	1074	1674
391	1076	1670
392	1083	1673
393	1085	1669
394	1087	1664
395	1089	1661
396	1090	1656
397	1092	1652
398	1096	1652
399	1099	1649
400	1101	1644
401	1103	1640
402	1104	1636
403	1106	1632
404	1107	1627
405	1112	1628
406	1114	1624
407	1116	1619
408	1119	1617
409	1121	1613
410	1123	1609
411	1129	1612
412	1132	1609
413	1133	1604
414	1135	1600
415	1136	1596
416	1138	1591
417	1143	1592
418	1145	1587
419	1147	1584
420	1149	1580
421	1150	1576
422	1152	1571
423	1153	1567
424	1159	1568
425	1160	1563
426	1162	1559
427	1163	1555
428	1165	1551
429	1166	1546
430	1168	1542
431	1173	1542
