iter	Passed	Remaining
0	5	5982
1	8	4025
2	10	3406
3	13	3390
4	15	3032
5	25	4157
6	27	3963
7	29	3685
8	31	3498
9	37	3726
10	39	3534
11	40	3371
12	42	3229
13	44	3109
14	54	3554
15	58	3570
16	66	3851
17	68	3747
18	71	3679
19	73	3611
20	75	3515
21	82	3685
22	84	3591
23	86	3520
24	88	3456
25	90	3393
26	97	3509
27	105	3652
28	106	3578
29	114	3694
30	115	3622
31	120	3633
32	129	3783
33	131	3733
34	136	3758
35	138	3714
36	146	3801
37	177	4486
38	182	4498
39	193	4643
40	197	4630
41	206	4706
42	208	4644
43	210	4582
44	212	4510
45	219	4550
46	221	4495
47	223	4437
48	225	4375
49	227	4313
50	228	4254
51	235	4292
52	237	4242
53	239	4187
54	240	4139
55	242	4089
56	244	4040
57	252	4108
58	256	4094
59	258	4052
60	260	4010
61	270	4089
62	272	4045
63	273	4001
64	275	3958
65	282	4000
66	285	3978
67	290	3974
68	298	4028
69	301	4002
70	305	3991
71	307	3958
72	314	3994
73	316	3956
74	317	3918
75	319	3882
76	321	3847
77	323	3818
78	324	3786
79	326	3759
80	328	3726
81	330	3694
82	330	3654
83	332	3624
84	339	3655
85	341	3627
86	343	3599
87	345	3576
88	346	3548
89	348	3521
90	355	3549
91	356	3523
92	358	3496
93	360	3471
94	362	3451
95	363	3426
96	373	3472
97	377	3470
98	387	3524
99	395	3556
100	403	3588
101	405	3568
102	408	3557
103	410	3537
104	417	3561
105	420	3542
106	422	3523
107	425	3511
108	427	3494
109	434	3517
110	436	3494
111	437	3472
112	440	3453
113	442	3435
114	448	3452
115	450	3431
116	451	3409
117	454	3394
118	455	3373
119	457	3353
120	463	3370
121	465	3348
122	466	3328
123	469	3319
124	471	3300
125	473	3282
126	479	3294
127	480	3276
128	482	3258
129	484	3241
130	486	3225
131	488	3209
132	494	3221
133	498	3223
134	501	3210
135	502	3193
136	509	3208
137	511	3192
138	515	3192
139	517	3178
140	519	3164
141	526	3178
142	527	3162
143	529	3147
144	531	3134
145	533	3118
146	534	3103
147	542	3120
148	543	3105
149	545	3090
150	546	3075
151	548	3062
152	550	3048
153	552	3034
154	554	3022
155	556	3009
156	557	2995
157	559	2980
158	561	2967
159	562	2955
160	563	2939
161	566	2927
162	567	2914
163	569	2901
164	570	2888
165	578	2907
166	580	2894
167	581	2881
168	584	2871
169	585	2859
170	591	2869
171	595	2866
172	598	2859
173	600	2849
174	602	2841
175	605	2834
176	607	2823
177	608	2811
178	610	2799
179	611	2787
180	618	2800
181	620	2788
182	622	2777
183	624	2768
184	625	2756
185	627	2746
186	629	2736
187	631	2725
188	632	2714
189	634	2704
190	637	2699
191	645	2716
192	647	2706
193	648	2695
194	650	2685
195	652	2677
196	658	2685
197	660	2675
198	662	2667
199	664	2657
200	666	2651
201	668	2641
202	676	2654
203	678	2645
204	681	2644
205	683	2634
206	690	2644
207	692	2635
208	693	2625
209	695	2615
210	698	2612
211	700	2602
212	702	2595
213	704	2585
214	705	2577
215	707	2568
216	709	2559
217	714	2564
218	716	2556
219	718	2547
220	721	2542
221	722	2533
222	724	2524
223	726	2515
224	746	2570
225	755	2586
226	760	2589
227	794	2690
228	841	2832
229	843	2823
230	871	2901
231	874	2895
232	1006	3313
233	1012	3313
234	1014	3301
235	1023	3313
236	1025	3301
237	1029	3294
238	1038	3307
239	1041	3296
240	1160	3655
241	1163	3643
242	1173	3655
243	1175	3642
244	1186	3657
245	1191	3652
246	1193	3638
247	1195	3625
248	1204	3634
249	1206	3619
250	1208	3606
251	1210	3592
252	1212	3579
253	1219	3580
254	1220	3566
255	1222	3552
256	1223	3538
257	1226	3525
258	1227	3513
259	1234	3513
260	1236	3500
261	1237	3486
262	1239	3473
263	1242	3464
264	1250	3468
265	1252	3456
266	1254	3443
267	1256	3430
